"","category","name","reviewer","review","date","ratings"
"1","Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","Rain Bow","I have bought pillows from Silentnight for years and have always been pleased with them.  Plus, I never keep my pillows long, every year or so I buy new.  This time around I thought I would try an ""upgrade"" to my usual model and I was pleased with the result.The Airmax Pillow has mesh around the sides.  This gives a good shape to the pillow, even when you lie on it, and is intended to let the pillow breathe and so keep your head cooler (I wait for summer to come so that I can test this feature more fully).  The pillow is hypoallergenic (something I always insist on when buying any kind of bedding), can be machine washed if need be, and comes with a 2 year guarantee which shows the confidence this manufacturer has in its product.Silentnight advises that for back sleepers you should select one pillow to sleep on that has a firmness rating, for front sleepers choose one pillow to sleep on that has a soft rating, for side sleepers  choose one or two pillows in the soft - medium rating.  The pillows I bought were in the soft rating but they are definitely not so soft that you sink into them - and I use 2 pillows on my bed for me.New pillows always seem to sit quite high and I know from experience that they will flatten down a little over time, so I am not concerned with that.  They are extremely comfortable to lie on and keep their shape throughout the night.  A little pat to fluff them up in the morning and they were back in perfect shape.I bought two pillows for this order and am pleased with the purchase - only a little more expensive than the model I have previously been buying but definitely worth the money.","Reviewed in the United Kingdom on 24 February 2024","4.2 out of 5 stars"
"2","Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","Philip Killoran","Comfort, design and value are good.","Reviewed in the United Kingdom on 3 March 2024","5.0 out of 5 stars"
"3","Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","Rain Bow","Good value pillow, keeps its shape , breathable, supportive yet soft.","Reviewed in the United Kingdom on 24 February 2024","3.0 out of 5 stars"
"4","Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","Biggee155","I have been suffering with pain in my right shoulder for several months now, I used to sleep with two down pillows, I changed them for two quality pillows and whilst that was better, I still woke up a few times a night. then I saw this pillow, the Silentnight Airmax.I'm a side sleeper and this was advertised as a support pillow for side sleepers, it's a soft comfortable pillow but with enough support within it so it supports my head & neck to ease my shoulder and after just three nights use, I've just slept through the night for the first time in months and I feel the freshest this morning than I have for a long time. Don't get me wrong, I still have a bad shoulder, it's not a cure, but the comfort and support that it is providing me is enabling me to get a better nights sleep.","Reviewed in the United Kingdom on 24 February 2024","5.0 out of 5 stars"
"5","Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","MTG","After moderate use this pillow goes flat relatively quickly.","Reviewed in the United Kingdom on 6 March 2024","4.0 out of 5 stars"
"6","Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","John Hartshorn","I find these pillows very comfortable, nice and light, whilst also still staying full, cushioned and soft , after 3 years!","Reviewed in the United Kingdom on 23 February 2024","5.0 out of 5 stars"
"7","Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","Philip Killoran","I bought these pillows because they promised support for the neck and shoulders. truth is my neck and shoulders just sink into the pillow. it's meant to be a 7/10 in terms of firmness, but it's honestly completely useless. if you're hoping to get some support or relief, then please don't buy it. i'm not sending them back because it's too much hard work to send back pillows, but honestly, i'd love to. this is borderline selling by false representation. really regret this purchase and i'm lowkey mad at myself for falling for it.","Reviewed in the United Kingdom on 3 March 2024","5.0 out of 5 stars"
"8","Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","Orla","I'll try and keep this simple and straight to the point:The good:CheapSoftFeels premium, not like your average basic pillow due to the stitching on the sides of itKnown brand, so you can expect it to be made from quality materials.The bad:Started sagging from one area after less than a month of useDoesnt hold its shape properlyNot as soft as it advertisesIn conclusion, considering the price of it, its fine if you're looking for a fairly basic pillow. If you need something more comfy, probably spend a bit more on something else.","Reviewed in the United Kingdom on 18 February 2024","3.0 out of 5 stars"
"9","Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","jon rhys","I got mine on sale , so for what I paid it was worth it then . I use for guests not sure it would last for every day use","Reviewed in the United Kingdom on 10 February 2024","5.0 out of 5 stars"
"10","Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","DriftKing - Product Reviewer","I'm 58yrs old and always wasted a lot of money over the years in buying pillows for comfort and to keep my head cool , I'm a side sleeper and this pillow is so amazing around the outside it has like a air vent which helps to keep your head cool during the night , the first night I used it I slept all through the night ,love this pillow so much  that I've just ordered another oñe for my other side of my bed , I would very highly recommend this pillow if your a side sleeper and your head normally gets hot at night you will really notice the diifference","Reviewed in the United Kingdom on 3 August 2023","1.0 out of 5 stars"
